  step    steps_total    steps_local    running_reward    loss
   522         228461            562             239.9  1.62032
   523         229061            600             294.3  2.07408
   524         229661            600             446.8  1.91427
   525         230261            600             273.8  1.86710
   526         230861            600             647.7  1.96741
   527         231461            600             522.8  2.43068
   528         232061            600             848.2  1.67975
   529         232661            600             996.1  2.20106
   530         233261            600             767.3  2.05362
   531         233861            600             -43.4  1.63345
   532         234195            334            -144.4  2.06906
   533         234795            600             409.4  2.03597
   534         235395            600             306.3  1.69506
   535         235995            600             365.1  1.66174
   536         236595            600             265.7  2.17241
   537         237195            600             105.8  1.70340
   538         237795            600             552.2  1.91560
   539         238395            600             350.3  1.92016
   540         238995            600             329.6  1.70788
   541         239595            600             147.6  2.50233
   542         240195            600              69.9  2.17134
   543         240795            600             103.8  2.01116
   544         241395            600             221.3  1.86819
   545         241995            600             384.1  1.75017
   546         242595            600             496.4  1.75882
   547         243195            600             153.0  1.76754
   548         243795            600            -110.5  1.78387
   549         244395            600             419.6  1.90494
   550         244995            600             -32.3  1.93495
   551         245595            600             -78.3  1.60741
   552         246195            600             957.4  2.28050
   553         246795            600             447.4  1.63444
   554         247395            600             616.4  1.86531
   555         247995            600             362.3  1.85057
   556         248595            600             146.3  1.64434
   557         249195            600             180.8  1.68995
   558         249795            600             243.7  1.63504
   559         250395            600              23.1  1.69783
   560         250995            600             526.8  2.08073
   561         251595            600              83.3  1.80845
   562         252195            600             703.9  1.86299
   563         252795            600             879.0  1.83091
   564         253395            600             141.9  1.74514
   565         253995            600             429.3  1.70838
   566         254595            600             203.8  1.75965
   567         255195            600             -66.6  1.69080
   568         255418            223            -335.9  1.71777
   569         256018            600             287.6  1.78746
   570         256618            600            -146.9  1.66499
   571         257218            600             768.2  1.97686
   572         257818            600              23.4  1.91232
   573         258418            600             355.6  1.69558
   574         259018            600             154.7  1.99986
   575         259618            600              43.9  2.50092
   576         259792            174            -435.4  2.10712
   577         260392            600             655.9  1.78986
   578         260992            600             454.9  1.71004
   579         261592            600             300.6  1.66209
   580         262192            600             472.4  2.56831
   581         262792            600             447.2  2.15574
   582         263392            600             496.8  1.75837
   583         263992            600             480.1  1.70060
   584         264592            600             221.0  1.76531
   585         264805            213            -347.8  1.70463
   586         265405            600             894.9  1.61568
   587         266005            600             832.9  2.06864
   588         266605            600             117.6  2.02543
   589         267205            600              66.6  1.90634
   590         267805            600              93.4  2.03749
   591         268405            600              62.8  2.35958
   592         269005            600             393.1  1.88701
   593         269605            600            -139.6  1.69343
   594         270205            600             192.0  2.34738
   595         270805            600             145.1  1.83661
   596         271405            600             -68.9  1.76759
   597         271790            385              70.5  1.73737
   598         272390            600             550.5  1.92481
   599         272990            600             631.1  1.82244
   600         273590            600             346.2  1.78916
   601         273799            209            -407.1  1.90591
   602         274399            600             368.4  1.75961
   603         274999            600             174.9  2.00111
   604         275599            600             572.6  1.64915
   605         276199            600             838.6  1.88004
   606         276799            600             510.3  2.31227
   607         277399            600             -16.3  1.63596
   608         277999            600             551.7  1.88992
   609         278599            600             809.9  1.56808
   610         279199            600              -9.6  1.76081
   611         279799            600             409.4  1.88535
   612         280399            600             376.7  1.66468
   613         280999            600             301.9  1.98724
   614         281599            600             120.5  2.19080
   615         282199            600             746.6  1.52788
   616         282799            600             250.7  1.69016
   617         283399            600             164.5  1.66826
   618         283999            600             950.7  2.02548
   619         284599            600             158.8  1.82607
   620         285199            600             375.0  1.80653
   621         285799            600             388.5  1.53002
   622         286399            600             321.3  1.72517
   623         286999            600             299.9  1.74949
   624         287599            600             -47.7  1.65628
   625         288199            600            -137.3  1.71498
   626         288799            600             568.6  2.00101
   627         289399            600             191.7  2.03389
   628         289999            600             606.2  1.70453
   629         290599            600             303.1  1.91958
   630         291199            600             501.0  1.87859
   631         291799            600             136.4  1.64075
   632         292399            600             157.3  1.48535
   633         292999            600             548.2  1.79697
   634         293599            600             642.5  1.42977
   635         294199            600             343.5  1.63184
   636         294799            600             111.8  1.75008
   637         295399            600            -104.4  1.65548
   638         295999            600             121.9  2.16627
   639         296599            600             296.8  1.68773
   640         297199            600             316.2  2.02869
   641         297799            600             856.3  1.90104
   642         298399            600             474.5  1.67347
   643         298999            600             -31.2  1.52765
   644         299599            600             354.3  1.62062
   645         300199            600              -8.0  1.58034
   646         300442            243            -611.7  1.53664
   647         301042            600             411.3  1.64811
